activity_id,date,site_id,characteristic_name,result_value,result_unit,sample_medium,activity_type,latitude,longitude,source_type
nwisia.01.01201871,2012-08-23,USGS-05454500,Specific conductance,492.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94700042,1947-09-25,USGS-05454500,Specific conductance,461.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500017,1945-02-19,USGS-05454500,Specific conductance,401.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500017,1945-02-19,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500017,1945-02-19,USGS-05454500,Nitrate,1.51,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00101581,2001-05-03,USGS-05454500,"Temperature, water",18.8,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500036,1945-07-28,USGS-05454500,Specific conductance,545.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500036,1945-07-28,USGS-05454500,pH,7.9,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500036,1945-07-28,USGS-05454500,Nitrate,1.94,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00101581,2001-05-03,USGS-05454500,Specific conductance,497.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200007,1952-03-11,USGS-05454500,Specific conductance,242.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200007,1952-03-11,USGS-05454500,pH,7.9,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400032,1954-09-15,USGS-05454500,Specific conductance,546.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400032,1954-09-15,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94600007,1946-01-01,USGS-05454500,Specific conductance,581.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00200341,2001-10-12,USGS-05454500,"Temperature, water",15.3,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.01201871,2012-08-23,USGS-05454500,Nitrate,0.319,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800604,2008-06-14,USGS-05454500,pH,7.5,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800604,2008-06-14,USGS-05454500,Nitrate,5.13,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00200341,2001-10-12,USGS-05454500,Specific conductance,466.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800604,2008-06-14,USGS-05454500,Specific conductance,363.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800621,2008-06-20,USGS-05454500,"Temperature, water",22.5,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800621,2008-06-20,USGS-05454500,Specific conductance,293.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800621,2008-06-20,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800621,2008-06-20,USGS-05454500,Nitrate,3.6,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700079,2006-12-19,USGS-05454500,"Temperature, water",1.9,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800605,2008-06-15,USGS-05454500,"Temperature, water",22.3,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800605,2008-06-15,USGS-05454500,Specific conductance,361.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800605,2008-06-15,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00800605,2008-06-15,USGS-05454500,Nitrate,4.94,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700079,2006-12-19,USGS-05454500,Specific conductance,617.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200012,1952-05-28,USGS-05454500,Specific conductance,497.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95200012,1952-05-28,USGS-05454500,pH,8.1,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300009,1952-11-17,USGS-05454500,Specific conductance,301.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95300009,1952-11-17,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800019,1948-03-21,USGS-05454500,Specific conductance,159.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800019,1948-03-21,USGS-05454500,pH,7.3,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94800019,1948-03-21,USGS-05454500,Nitrate,1.81,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700119,2007-02-20,USGS-05454500,"Temperature, water",0.8,deg C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500041,1945-08-26,USGS-05454500,Specific conductance,416.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500041,1945-08-26,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500041,1945-08-26,USGS-05454500,Nitrate,1.72,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700119,2007-02-20,USGS-05454500,Specific conductance,845.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.94500002,1944-10-11,USGS-05454500,Specific conductance,491.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400012,1954-04-18,USGS-05454500,Specific conductance,445.0,uS/cm @25C,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.95400012,1954-04-18,USGS-05454500,pH,7.6,std units,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700032,1907-08-28,USGS-05454500,Turbidity,80.0,mg/l SiO2,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.90700032,1907-08-28,USGS-05454500,Nitrate,0.678,mg/L as N,Water,Sample-Routine,41.656,-91.536,public observation
nwisia.01.00700119,2007-02-20,USGS-05454500,pH,8.0,std units,Water,Sample-Routine,41.656,-91.536,public observation
