site_no,site_name,latitude,longitude,drainage_area_sqmi,source_type,year,mean_discharge_cfs,peak_discharge_cfs,low7_discharge_cfs
05451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,224.0,public observation,2020,174.5788524590164,2770.0,0.9957142857142857
05451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,224.0,public observation,2021,31.205342465753425,340.0,0.8685714285714285
05451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,224.0,public observation,2022,95.06572602739726,756.0,2.5785714285714287
05451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,224.0,public observation,2023,78.23265753424657,1580.0,1.157142857142857
05451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,224.0,public observation,2024,133.47693989071038,2120.0,0.5771428571428572
05451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,224.0,public observation,2025,197.26731506849316,1610.0,5.5128571428571425
05451500,"Iowa River at Marshalltown, IA",42.06582096,-92.9076997,1532.0,public observation,2020,1180.360655737705,8930.0,111.28571428571429
05451500,"Iowa River at Marshalltown, IA",42.06582096,-92.9076997,1532.0,public observation,2021,387.4358904109589,1990.0,96.3
05451500,"Iowa River at Marshalltown, IA",42.06582096,-92.9076997,1532.0,public observation,2022,710.4402739726028,6600.0,72.11428571428571
05451500,"Iowa River at Marshalltown, IA",42.06582096,-92.9076997,1532.0,public observation,2023,548.953698630137,8560.0,44.457142857142856
05451500,"Iowa River at Marshalltown, IA",42.06582096,-92.9076997,1532.0,public observation,2024,1032.9431693989072,13300.0,34.98571428571428
05451500,"Iowa River at Marshalltown, IA",42.06582096,-92.9076997,1532.0,public observation,2025,1471.3643835616438,9470.0,204.57142857142858
05451700,"Timber Creek near Marshalltown, IA",42.008875,-92.8524194,118.0,public observation,2020,83.53191256830601,646.0,3.9885714285714284
05451700,"Timber Creek near Marshalltown, IA",42.008875,-92.8524194,118.0,public observation,2021,39.108219178082194,446.0,2.654285714285714
05451700,"Timber Creek near Marshalltown, IA",42.008875,-92.8524194,118.0,public observation,2022,56.42841095890411,587.0,0.8714285714285877
05451700,"Timber Creek near Marshalltown, IA",42.008875,-92.8524194,118.0,public observation,2023,25.1313698630137,599.0,0.02142857142857143
05451700,"Timber Creek near Marshalltown, IA",42.008875,-92.8524194,118.0,public observation,2024,92.47524590163935,5260.0,0.5657142857142857
05451700,"Timber Creek near Marshalltown, IA",42.008875,-92.8524194,118.0,public observation,2025,141.19567123287672,4820.0,3.411428571428572
05451900,"Richland Creek near Haven, IA",41.89943868,-92.474355,56.1,public observation,2020,55.40978142076503,2000.0,2.7471428571428573
05451900,"Richland Creek near Haven, IA",41.89943868,-92.474355,56.1,public observation,2021,32.753287671232876,515.0,0.9485714285714285
05451900,"Richland Creek near Haven, IA",41.89943868,-92.474355,56.1,public observation,2022,21.266575342465753,271.0,0.3742857142857143
05451900,"Richland Creek near Haven, IA",41.89943868,-92.474355,56.1,public observation,2023,11.463999999999999,377.0,0.5
05451900,"Richland Creek near Haven, IA",41.89943868,-92.474355,56.1,public observation,2024,26.31142076502732,2440.0,0.7814285714285715
05451900,"Richland Creek near Haven, IA",41.89943868,-92.474355,56.1,public observation,2025,40.10698630136986,1190.0,1.1685714285714286
05452000,"Salt Creek near Elberon, IA",41.9641611,-92.3132417,201.0,public observation,2020,224.6292349726776,7260.0,28.785714285714302
05452000,"Salt Creek near Elberon, IA",41.9641611,-92.3132417,201.0,public observation,2021,112.11342465753425,1280.0,8.838571428571429
05452000,"Salt Creek near Elberon, IA",41.9641611,-92.3132417,201.0,public observation,2022,82.75441095890412,784.0,10.751428571428571
05452000,"Salt Creek near Elberon, IA",41.9641611,-92.3132417,201.0,public observation,2023,43.363543956043955,816.0,4.798571428571429
05452000,"Salt Creek near Elberon, IA",41.9641611,-92.3132417,201.0,public observation,2024,104.98232240437159,4940.0,5.035714285714286
05452000,"Salt Creek near Elberon, IA",41.9641611,-92.3132417,201.0,public observation,2025,138.7586301369863,1790.0,20.357142857142858
05452200,"Walnut Creek near Hartwick, IA",41.8349969,-92.386297,70.9,public observation,2020,57.99713114754098,926.0,5.911428571428572
05452200,"Walnut Creek near Hartwick, IA",41.8349969,-92.386297,70.9,public observation,2021,32.58643835616438,454.0,1.7671428571428571
05452200,"Walnut Creek near Hartwick, IA",41.8349969,-92.386297,70.9,public observation,2022,20.874986301369862,317.0,1.5042857142857142
05452200,"Walnut Creek near Hartwick, IA",41.8349969,-92.386297,70.9,public observation,2023,12.22054794520548,288.0,1.1071428571428612
05452200,"Walnut Creek near Hartwick, IA",41.8349969,-92.386297,70.9,public observation,2024,19.849617486338797,1430.0,0.5271428571428571
05452200,"Walnut Creek near Hartwick, IA",41.8349969,-92.386297,70.9,public observation,2025,49.00539726027397,855.0,1.0628571428571427
05453000,"Big Bear Creek at Ladora, IA",41.74944709,-92.1821267,189.0,public observation,2020,148.83224043715848,2750.0,16.814285714285724
05453000,"Big Bear Creek at Ladora, IA",41.74944709,-92.1821267,189.0,public observation,2021,93.50167123287672,1070.0,9.447142857142856
05453000,"Big Bear Creek at Ladora, IA",41.74944709,-92.1821267,189.0,public observation,2022,70.25863013698631,688.0,3.659999999999983
05453000,"Big Bear Creek at Ladora, IA",41.74944709,-92.1821267,189.0,public observation,2023,35.9732602739726,674.0,2.5714285714285716
